Timestamp,Which of the following sentences BEST describes an architecture view?,How many years have you been developing software?,Number of OSS projects contributed to with at least one commit,How would you describe your OSS contribution?,What is your current role(s) in your organization?,What is your primary role in relation to architecture views?,"Architecture views should use an informal notation (for example boxes and arrows, icons)",Legends are not necessary in an architecture view,Architecture views should show the entire project and not just a portion of it,Architecture views should provide a high level overview of a project,Design information and runtime information are equally important to be reported in architecture views,Technologies used in a project are important in architecture views,What is the most valuable purpose(s) of an architecture view?,What is the most important concern(s) an architecture view should cover?,Which is the most important quality attribute an architecture view should cover?,For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Architecture design],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Coding / implementation],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Maintenance / operations],"Are you using in some way any standard notation in your architecture views? If so, which ones?",How important are the following elements in your architecture views? [Architectural components (for example code classes)],How important are the following elements in your architecture views? [Connection/Interaction (for example HTTP calls)],How important are the following elements in your architecture views? [Layers (for example the front end)],How important are the following elements in your architecture views? [Technologies (for example Kubernetes)],How important are the following elements in your architecture views? [Nested Components (for example elements of a layer)],How important are the following elements in your architecture views? [Users (for example end users)],How important are the following elements in your architecture views? [Legends (for example meaning of the colors used)],"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Which tool do you use to create architecture views? (if any),"If you are using a tool, what made you pick it?",What are the biggest challenges you face when creating architecture views?,Who is the intended user of your architecture views?,To which extent is it important to have versionable architecture views (version control with change tracking)?,To which extent is it important to have collaborative environment integration for architecture view editing?,To which extent is it important to have ready to be-used architecture view templates?,To which extent is it important to directly link architecture view elements to software artifact (for example code classes)?,To which extend is it important to be able to automatically generate architecture views from the code?,Do you use any (semi-)automatic tool for architecture view creation?,"If yes, please specify which tool you use",Which of the following aspects could in your opinion be automated?,"In your opinion, how will the creation of architecture views change in the future?",Any further comments o suggestions?
12/11/2024 16:40:55,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Software Architect,Both creating and using architecture views,4,1,4,2,4,2,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Show component dependencies","Control flow, Data flow",Functionality,Very important,Important,Neutral,I usually follow a more simplified approach using power point. Also because a lot of people already have It on their PC.,Very important,Important,Important,Neutral,Very important,Neutral,Important,,"PowerPoint / Keynote / Slides, mermaid js","Easy to use, My audience should possibly be max one click away from the schema","Complex to create, Too time consuming to maintain","Myself, Dev Teams",5,3,3,5,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc), It would also require a BIG effort.",Ai first architecture discussion with diagrams generation. It will be really easy to do for an architect. The real question will be: there will be any real architect in the future?,
12/11/2024 17:05:15,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Senior Engineering Manager,Both creating and using architecture views,4,1,3,5,4,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Aid system documentation","Control flow, Data flow, Connection of components","Functionality, Interaction capability, Maintainability",Very important,Important,Important,"UML, C4",Important,Important,Very important,Very unimportant,Important,Neutral,Very important,,"PowerPoint / Keynote / Slides, Sigma","Already used in my development company, Versatile, Supports collaboration","Perceived low value, Hard to mantain, Nobody uses the architecture views afterwards","Existing contributors, Project maintainers",5,5,5,5,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",AI will definitely play a very important role here: the use of ChatGPT to transform a Ruby-on-Rails schema into mermaid code to build an ER is already common,
12/11/2024 17:22:51,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Occasional contributor,Research Engineer,Neither,4,2,4,3,2,2,"Clarify the system structure, Show component dependencies","Data flow, Connection of components","Functionality, Interaction capability, Flexibility",Very important,Neutral,Important,UML,Neutral,Very important,Important,Unimportant,Neutral,Neutral,Important,,Draw.io / Diagram.net,Presence of templates,"Hard to mantain, Too time consuming, Insufficient architectural design skills",Existing contributors,5,5,4,3,4,No,,"Identification of connections / interaction between components, Architecture view update, Architecture view validation",It will be automated by LLMs,
12/11/2024 17:58:32,A graphical representation showing the structure of system components,2-3 years,4-10 projects,Regular contributor,Software Developer,Both creating and using architecture views,3,3,5,4,3,2,"Clarify the system structure, Ease understanding complex interactions, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability, Maintainability",Important,Neutral,Important,,Very unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Very unimportant,,PowerPoint / Keynote / Slides,"Easy to use, Free to use","Lack of templates, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors, Project maintainers",2,2,1,2,2,No,,Identification of connections / interaction between components,,
12/11/2024 18:09:31,A graphical representation showing the structure of system components,16+ years,11-20 projects,Core/maintainer team member,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,3,2,2,3,3,2,"Clarify the system structure, Show component dependencies",Connection of components,Interaction capability,Important,Important,Important,,Neutral,Unimportant,Important,Unimportant,Neutral,Neutral,Unimportant,,mermaid,"Easy to use, Integration with other tools, Free to use",Hard to mantain,"New potential contributors, Existing contributors, Project maintainers",4,4,2,2,1,No,,Architecture view validation,,
12/11/2024 18:09:53,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,5,1,5,5,3,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Neutral,Neutral,,,,,,,,,,Draw.io / Diagram.net,"Easy to use, Already used in my development company, Free to use, Supports collaboration",Too time consuming,"Myself, New potential contributors",4,4,2,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update",,
12/11/2024 18:12:41,A graphical representation showing the structure of system components,11-15 years,4-10 projects,Occasional contributor,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,4,2,1,3,4,3,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Very important,,Unimportant,Important,Important,Important,Very important,Unimportant,Important,,"Draw.io / Diagram.net, Similar tooling to draw.io that isn't draw.io (excalidraw, mermaid diagramming)","Easy to use, Already used in my development company, Free to use","Complex to create, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",3,2,3,4,4,No,,"Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:14:36,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,4,3,3,5,2,1,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Show component dependencies","Deployment, Control flow, Data flow, Connection of components","Functionality, Security, Maintainability, Flexibility",Very important,Neutral,Important,,Important,Very important,Important,Neutral,Neutral,Neutral,Unimportant,,Draw.io / Diagram.net,"Easy to use, Rich of features, Already used in my development company, Versatile, Free to use, Supports collaboration","Complex to create, Too time consuming","Myself, Existing contributors, Project maintainers",4,4,5,4,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:16:36,A graphical representation showing the structure of system components,11-15 years,4-10 projects,Occasional contributor,"Technical Lead, DevOps Engineer",Both creating and using architecture views,4,3,3,4,5,3,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making",Connection of components,"Functionality, Interaction capability, Flexibility",Very important,Very important,Important,,Important,Important,Very important,Neutral,Unimportant,Unimportant,Neutral,,"AWS Architecture, Lucid Charts","Easy to use, Already used in my development company",Hard to mantain,"Myself, End users, New potential contributors, Existing contributors, Project maintainers",4,2,2,2,3,No,,"Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:18:23,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,"Software Developer, Software Architect",Both creating and using architecture views,5,3,2,5,2,2,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Help in design decision-making, Aid system documentation, Show component dependencies","General documentation, Control flow, Connection of components","Functionality, Compatibility, Maintainability",Very important,Neutral,Important,UML,Very important,Unimportant,Important,Neutral,Important,Very unimportant,Important,,Draw.io / Diagram.net,"Easy to use, Versatile, Free to use, Supports collaboration","Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","End users, New potential contributors, Existing contributors, Project maintainers",2,5,1,3,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update",I hope updating the view will be more automatic since it is very time consuming.,
12/11/2024 18:21:35,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,"Software Developer, Software Architect, Product Owner, Technical Lead, DevOps Engineer",Both creating and using architecture views,4,3,2,5,2,5,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Compatibility",Very important,Very important,Important,,Neutral,Important,Important,Very important,Neutral,Neutral,Neutral,,"PowerPoint / Keynote / Slides, Visio","Easy to use, Already used in my development company, Versatile, Supports collaboration","Perceived low value, Hard to mantain","Myself, New potential contributors, Existing contributors",5,5,3,2,3,No,,"Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:23:22,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,"Software Architect, DevOps Engineer",Both creating and using architecture views,4,3,2,4,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Highlight architecture patterns",Connection of components,"Functionality, Interaction capability, Reliability",Important,Neutral,Unimportant,,Neutral,Important,Important,Neutral,Neutral,Unimportant,Neutral,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Versatile, Free to use","Perceived low value, Complex to create, Hard to mantain, Nobody uses the architecture views afterwards","Myself, End users, Existing contributors, Project maintainers",3,3,2,2,2,No,,"Identification of architecture components, Identification of connections / interaction between components",,
12/11/2024 18:23:44,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Core/maintainer team member,"IT freelancer, so all of the above to some degree",Both creating and using architecture views,2,4,1,4,2,2,"Clarify the system structure, Ease understanding complex interactions, Highlight architecture patterns, Show component dependencies, Offer insight where the architecture is too complex and should be changed","Control flow, Connection of components","Maintainability, Flexibility",Important,Important,Important,UML,Important,Neutral,Neutral,Unimportant,Important,Neutral,Unimportant,,Draw.io / Diagram.net,"Easy to use, Free to use","Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors",2,2,4,4,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:24:01,A graphical representation showing the structure of system components,11-15 years,11-20 projects,Regular contributor,"Software Architect, Technical Lead",Both creating and using architecture views,3,1,3,4,4,4,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making, Facilitate system evolution tracking, Show component dependencies","Data flow, Connection of components","Functionality, Interaction capability, Reliability, Security",Very important,Important,Neutral,"UML, TOGAF",Important,Very important,Very important,Important,Important,Very important,Important,,Draw.io / Diagram.net,"Easy to use, Frequent updates, Integration with other tools, Versatile, Free to use","Lack of templates, Lack of existing documentation, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors, Project maintainers",5,4,4,4,5,No,,"Identification of connections / interaction between components, Architecture view creation, Architecture view validation","The creation of software architecture views is expected to evolve significantly, influenced by AI-Powered Design and Automation",
12/11/2024 18:25:17,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,"Software Developer, Software Architect, Test Engineer",Creating architecture views,3,2,2,3,2,3,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation, Facilitate system evolution tracking",Connection of components,"Functionality, Compatibility, Interaction capability, Security",Very important,Important,Neutral,Mermaid diagram (code),Neutral,Important,Important,Neutral,Very important,Neutral,Neutral,,"Draw.io / Diagram.net, Visio, Mermaid, MIRO","Easy to use, Revision control for Mermaid Diagrams","Complex to create, Hard to mantain, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors",5,4,1,2,4,No,,"Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",Automated architecture view creation from code if monorepo.,
12/11/2024 18:30:14,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Regular contributor,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,3,1,3,4,3,2,"Ease understanding complex interactions, Facilitate system evolution tracking, Show component dependencies","Deployment, Control flow, Data flow, Connection of components","Functionality, Interaction capability, Flexibility",Important,Neutral,Very important,UML,Very important,Important,Important,Neutral,Neutral,Important,Neutral,,"Draw.io / Diagram.net, AWS Architecture, Visio","Easy to use, Rich of features, Already used in my development company, Integration with other tools, Free to use, Supports collaboration","Complex to create, Lack of templates, Lack of tools, Lack of existing documentation, Too time consuming","Myself, End users, Existing contributors, Project maintainers",4,3,4,4,5,Yes,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:30:33,A graphical representation showing the structure of system components,11-15 years,4-10 projects,Occasional contributor,Assistant professor,Neither,4,2,2,5,2,4,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Important,,Very unimportant,Important,Very important,Important,Unimportant,Neutral,Important,,SVG software,,Complex to create,"End users, New potential contributors, Project maintainers",5,3,2,2,2,No,,Architecture view update,,
12/11/2024 18:32:19,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Regular contributor,DevOps Engineer,Both creating and using architecture views,4,2,3,4,2,3,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Control flow, Data flow","Functionality, Interaction capability",Very important,Very important,Important,UML,Important,Very important,Important,Neutral,Neutral,Important,Important,,Draw.io / Diagram.net,"Easy to use, Rich of features, Already used in my development company, Presence of templates, Free to use","Hard to mantain, Lack of templates, Lack of existing documentation","Myself, New potential contributors, Existing contributors, Project maintainers",5,3,4,2,4,No,,"Identification of architecture components, Architecture view creation, Architecture view update, Architecture view validation",,
12/11/2024 18:32:29,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Core/maintainer team member,Software Developer,Both creating and using architecture views,5,3,1,1,2,1,"Clarify the system structure, Support onboarding new developers, Visualize runtime behaviour, Show component dependencies","Data flow, Connection of components",Not sure,Very important,Neutral,Important,UML,Very unimportant,Neutral,Important,Unimportant,Very important,Important,Neutral,,Draw.io / Diagram.net,"Easy to use, Free to use, Supports collaboration",Insufficient architectural design skills,"Myself, End users, New potential contributors, Existing contributors, Project maintainers",5,5,3,2,1,No,,Architecture view validation,,
12/11/2024 18:33:16,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Core/maintainer team member,"Software Developer, DevOps Engineer",Both creating and using architecture views,3,2,5,3,2,4,"Clarify the system structure, Help in design decision-making, Show component dependencies","Control flow, Connection of components","Functionality, Compatibility, Flexibility",Very unimportant,Unimportant,Neutral,"UML, https://www.miro.com",Very unimportant,Very unimportant,,,Very unimportant,,,Type of architecture monolithic or micro service ,Draw.io / Diagram.net,,"Complex to create, Hard to mantain",Project maintainers,3,3,2,4,3,No,,"Linking architecture view elements to code artefacts (code classes, technologies, etc)","The future of architectural views will be shaped by AI, VR, and AR, enabling immersive and automated design processes. Focus on sustainability and adaptability will also drive innovation in design visualization.","The integration of AI and immersive technologies will make architectural views more interactive and client-centric. Emphasizing sustainable and modular designs can ensure long-term relevance and environmental harmony.

"
12/11/2024 18:38:19,A graphical representation showing the structure of system components,7-10 years,11-20 projects,Occasional contributor,Mlops Engineer ,Both creating and using architecture views,5,3,4,3,2,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Highlight architecture patterns, Show component dependencies","General documentation, Data flow, Connection of components","Functionality, Reliability, Security, Flexibility",Very important,Important,Neutral,UML,,,,,,,,,"Draw.io / Diagram.net, AWS Architecture","Easy to use, Rich of features, Cloud service icons available ","Complex to create, Hard to mantain, Too time consuming","Myself, Existing contributors, Project maintainers",5,5,3,2,4,Yes,diagrams https://pypi.org/project/diagrams/,"Architecture view creation, Architecture view update, Architecture view validation",,"Maintaining views may be made easier in future eg new capability to integrate IAC tools like terraform and pulumi to automatically generate architecture diagrams  as part of resource creation. If patterns/system design  changes during the project lifecycle , it would make it easier to maintain with a single command rather than have to use any tool like draw.io etc and complexity of maintaining versions of it and updating documentation"
12/11/2024 18:39:58,A graphical representation showing the structure of system components,16+ years,11-20 projects,Core/maintainer team member,"Software Developer, Software Architect, Product Owner, Technical Lead, DevOps Engineer",Both creating and using architecture views,2,1,2,4,3,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns","Deployment, Control flow, Connection of components","Functionality, Security, Maintainability, Flexibility",Very important,Important,Very important,UML,Important,Neutral,Unimportant,Unimportant,Unimportant,Important,Important,,Eraser.io,"Easy to use, Rich of features, Integration with other tools, Versatile",Too time consuming,"Existing contributors, Project maintainers",2,4,3,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:40:10,A graphical representation showing the structure of system components,7-10 years,11-20 projects,Occasional contributor,Systems Librarian,Neither,2,2,2,4,3,4,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation","General documentation, Data flow",Not sure,Very important,Very unimportant,Important,,Neutral,Important,Very important,Very important,Important,Important,Neutral,,PowerPoint / Keynote / Slides,,"Hard to mantain, Too time consuming",Myself,4,3,3,4,4,No,,"Identification of architecture components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:45:30,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Occasional contributor,Software Developer,Both creating and using architecture views,3,2,1,4,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Compatibility, Interaction capability, Maintainability",Very important,Very important,Very important,UML,Neutral,Very important,Neutral,Unimportant,Unimportant,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Rich of features, Frequent updates, Integration with other tools, Versatile, Presence of templates, Free to use, Supports collaboration","Complex to create, Hard to mantain, Lack of templates, Lack of tools, Lack of existing documentation, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",5,5,3,2,2,No,,"Identification of connections / interaction between components, Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:46:18,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Core/maintainer team member,"Software Developer, Software Architect, Product Owner",Using architecture views,4,3,1,4,2,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Highlight architecture patterns","Control flow, Data flow, Connection of components","Functionality, Compatibility, Reliability, Security, Flexibility",Very important,Important,Unimportant,"UML, C4",Very important,Important,Important,Neutral,Unimportant,Very unimportant,Unimportant,,Draw.io / Diagram.net,"Easy to use, Rich of features, Versatile, Presence of templates, Free to use","Perceived low value, Complex to create, Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors, Project maintainers",3,2,2,2,3,Yes,IntelliJ diagrams,"Identification of architecture components, Identification of connections / interaction between components, Architecture view update","Much tighter integration with code, AI-generated code from UML diagrams",
12/11/2024 18:47:44,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Regular contributor,Software Developer,Using architecture views,2,3,5,5,3,4,"Clarify the system structure, Support onboarding new developers, Highlight architecture patterns, Visualize runtime behaviour",Control flow,Maintainability,Very important,Important,Neutral,no,Important,Neutral,Important,Very important,Important,Neutral,Important,,figma,make beatiful charts,"Complex to create, Too time consuming",Project maintainers,4,3,3,2,1,No,,"Identification of architecture components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:47:49,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,Software engineer and educator ,Neither,4,1,1,4,1,4,"Clarify the system structure, Support onboarding new developers, Help in design decision-making, Highlight architecture patterns",Connection of components,"Functionality, Interaction capability, Security",Very important,Very unimportant,Neutral,"UML, DrawIo",Unimportant,Important,Very important,Very important,Important,Important,Important,"Architectural views should have different granularity levels, starting from a very abstract view to more detailed ones for each specific part of the architecture ",Draw.io / Diagram.net,"Easy to use, Presence of templates, Free to use","Hard to mantain, Nobody uses the architecture views afterwards","Myself, New potential contributors, Project maintainers",3,3,3,5,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:49:55,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Occasional contributor,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,4,3,2,3,2,5,"Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Neutral,,Unimportant,Very important,Very important,Important,Important,Important,Important,,"Draw.io / Diagram.net, Lucid","Easy to use, Rich of features, Supports collaboration","Hard to mantain, Lack of existing documentation, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",4,5,2,1,2,No,,"Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",I suspect we'll soon see (if not already) applications that will try to use AI to interpret a code base and generate diagrams from it automatically.,
12/11/2024 18:50:07,A graphical representation showing the structure of system components,16+ years,1-3 projects,Occasional contributor,Software Architect,Both creating and using architecture views,4,1,5,5,4,1,"Clarify the system structure, Aid system documentation, Visualize runtime behaviour, Show component dependencies","Data flow, Connection of components","Functionality, Interaction capability, Reliability, Security, Flexibility",Very important,Neutral,Very important,"UML, C4",Unimportant,Very important,Very important,Neutral,Very important,Neutral,Very important,,lucidchart,"Easy to use, Rich of features, Integration with other tools, Versatile, Presence of templates, Supports collaboration",Lack of templates,"End users, New potential contributors, Existing contributors, Project maintainers",5,5,4,5,5,Yes,plantuml,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",AI to increase productivity,
12/11/2024 18:50:52,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Regular contributor,"Software Developer, Software Architect, Technical Lead, DevOps Engineer",Both creating and using architecture views,4,2,5,5,1,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Facilitate system evolution tracking, Highlight architecture patterns","General documentation, Deployment, Control flow, Data flow, Connection of components","Interaction capability, Maintainability",Important,Neutral,Very important,UML,Neutral,Important,Important,Very important,Neutral,Neutral,Neutral,,"Draw.io / Diagram.net, plantUML, mermaidjs","Easy to use, Integration with other tools, Free to use, Supports collaboration",Hard to mantain,"Myself, New potential contributors, Existing contributors, Project maintainers",5,5,5,5,5,Yes,,Architecture view creation,,
12/11/2024 18:54:19,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,"Software Developer, Software Architect, DevOps Engineer",Both creating and using architecture views,3,2,2,4,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","General documentation, Control flow, Data flow, Connection of components","Functionality, Interaction capability, Flexibility",Very important,Important,Important,"UML, C4, ArchiMate",Neutral,Neutral,Neutral,Unimportant,Neutral,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Versatile, Free to use",Hard to mantain,"End users, New potential contributors, Existing contributors, Project maintainers",4,4,4,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 18:54:39,A graphical representation showing the structure of system components,16+ years,4-10 projects,Core/maintainer team member,"Software Developer, DevOps Engineer",Both creating and using architecture views,4,4,2,3,4,3,"Support onboarding new developers, Aid system documentation, Visualize runtime behaviour, Show component dependencies","Data flow, Connection of components","Functionality, Interaction capability",Important,Neutral,Important,,Very unimportant,Very important,Neutral,Important,Important,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Already used in my development company, Free to use",Too time consuming,New potential contributors,2,3,2,2,1,No,,NONE,,
12/11/2024 18:57:57,A graphical representation showing the structure of system components,16+ years,11-20 projects,Core/maintainer team member,Technical Lead,Both creating and using architecture views,3,4,3,2,2,2,"Clarify the system structure, Ease understanding complex interactions, Highlight architecture patterns","General documentation, Data flow, Connection of components","Functionality, Interaction capability",Important,Neutral,Neutral,UML,Important,Important,Neutral,Neutral,Important,Neutral,Unimportant,,Draw.io / Diagram.net,"Easy to use, Integration with other tools, Presence of templates, Free to use",Too time consuming,"Myself, New potential contributors, Existing contributors, Project maintainers",5,5,5,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components",,
12/11/2024 18:58:26,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Core/maintainer team member,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,4,4,2,3,3,5,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Unimportant,UML,Very important,Very important,Important,Important,Neutral,Important,Unimportant,,"Draw.io / Diagram.net, FigJam","Easy to use, Rich of features, Already used in my development company, Versatile, Free to use, Supports collaboration","Complex to create, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",1,4,1,1,1,No,,NONE - if it's automated it's too involved to be useful,,
12/11/2024 18:59:29,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Core/maintainer team member,"Software Architect, Technical Lead, DevOps Engineer",Creating architecture views,1,1,3,3,4,3,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Help in design decision-making, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","General documentation, Control flow, Data flow, Connection of components",Functionality,Very unimportant,Very unimportant,Very unimportant,"UML, Reference Model of Open Distributed Processing (RM-ODP)",Very important,Very important,Very important,Neutral,Important,Important,Important,,Draw.io / Diagram.net,"Easy to use, Rich of features, Already used in my development company, Free to use, Supports collaboration","Complex to create, Hard to mantain, Lack of templates","Myself, New potential contributors, Existing contributors, Project maintainers",5,5,4,4,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc), Technology suggestion ",,
12/11/2024 19:00:25,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"Software Developer, Software Architect, Technical Lead, DevOps Engineer",Both creating and using architecture views,2,2,3,5,4,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Visualize runtime behaviour","Control flow, Data flow, Connection of components","Functionality, Reliability",Important,Neutral,Very important,UML,Unimportant,Important,Neutral,Unimportant,Neutral,Neutral,Very important,,"PowerPoint / Keynote / Slides, Dia","Supports collaboration, Output format is text, allowing diffs and source to be committed and kept next to code",Hard to mantain,"New potential contributors, Existing contributors, Project maintainers",5,3,3,2,2,No,,"Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",More automation as everything gradually becomes higher level ,
